locator_type,failed_locator,candidate_selector,candidate_id,candidate_text,candidate_tag,id_similarity,text_similarity,class_similarity,tag_match,is_correct
id,#react-burger-menu-btn1234,#item_0_title_link,item_0_title_link,Sauce Labs Bike Light,a,0.29,0.25,0.0,0,0
id,#item_1_title_link1234,"text=""""",,,a,0.0,0.0,0.45,1,0
id,#item_2_img_link1234,#item_2_img_link,item_2_img_link,,a,1.0,0.0,0.0,1,1
id,#item_3_title_link1234,#item_3_title_link,item_3_title_link,Test.allTheThings() T-Shirt (Red),a,1.0,0.38,0.0,1,1
id,#item_1_img_link1234,#item_1_title_link,item_1_title_link,Sauce Labs Bolt T-Shirt,a,0.79,0.17,0.0,1,0
id,#item_0_img_link1234,#item_4_img_link,item_4_img_link,,a,0.93,0.0,0.0,1,0
id,#item_5_title_link1234,#item_5_title_link,item_5_title_link,Sauce Labs Fleece Jacket,a,1.0,0.19,0.0,1,1
id,#add-to-cart-sauce-labs-bike-light1234,#about_sidebar_link,about_sidebar_link,About,a,0.39,0.4,0.41,0,0
id,#react-burger-cross-btn1234,#inventory_sidebar_link,inventory_sidebar_link,All Items,a,0.29,0.33,0.25,0,0
id,#add-to-cart-sauce-labs-onesie1234,#add-to-cart-test.allthethings()-t-shirt-(red),add-to-cart-test.allthethings()-t-shirt-(red),Add to cart,button,0.57,0.82,0.33,1,0
id,#add-to-cart-sauce-labs-bike-light1234,#add-to-cart-sauce-labs-bike-light,add-to-cart-sauce-labs-bike-light,Add to cart,button,1.0,0.82,0.31,1,1
id,#react-burger-cross-btn1234,#item_3_title_link,item_3_title_link,Test.allTheThings() T-Shirt (Red),a,0.21,0.29,0.0,0,0
text,text=Sauce Labs Fleece Jacket123,"text=""Sauce Labs Fleece Jacket""",item_5_title_link,Sauce Labs Fleece Jacket,a,0.34,1.0,0.0,1,1
id,#add-to-cart-sauce-labs-fleece-jacket1234,#react-burger-cross-btn,react-burger-cross-btn,Close Menu,button,0.36,0.4,0.0,1,0
id,#item_5_img_link1234,#react-burger-menu-btn,react-burger-menu-btn,Open Menu,button,0.22,0.29,0.0,0,0
id,#react-burger-cross-btn1234,#reset_sidebar_link,reset_sidebar_link,Reset App State,a,0.36,0.38,0.25,0,0
id,#add-to-cart-sauce-labs-bolt-t-shirt1234,"text=""Twitter""",,Twitter,a,0.0,0.43,0.0,0,0
id,#add-to-cart-test.allthethings()-t-shirt-(red)1234,#item_5_title_link,item_5_title_link,Sauce Labs Fleece Jacket,a,0.41,0.29,0.0,0,0
id,#item_0_title_link1234,#add-to-cart-sauce-labs-onesie,add-to-cart-sauce-labs-onesie,Add to cart,button,0.24,0.2,0.32,0,0
id,#add-to-cart-sauce-labs-onesie1234,#react-burger-cross-btn,react-burger-cross-btn,Close Menu,button,0.41,0.4,0.0,1,0
id,#add-to-cart-sauce-labs-onesie1234,#item_5_img_link,item_5_img_link,,a,0.27,0.0,0.0,0,0
id,#item_3_img_link1234,#item_2_img_link,item_2_img_link,,a,0.93,0.0,0.0,1,0
id,#add-to-cart-sauce-labs-fleece-jacket1234,"text=""Facebook""",,Facebook,a,0.0,0.5,0.0,0,0
id,#item_1_title_link1234,#item_3_img_link,item_3_img_link,,a,0.67,0.0,0.0,1,0
text,text=Add to cart123,"text=""Add to cart""",add-to-cart-sauce-labs-onesie,Add to cart,button,0.6,1.0,0.32,1,1
