old_id,old_tag,old_text,old_class,candidate_id,candidate_tag,candidate_text,candidate_class,id_similarity,text_similarity,class_similarity,tag_match,is_correct
react-burger-menu-btn,button,Open Menu,,react-burger-menu-btn,button,Open Menu,,1.0,1.0,1.0,1,1
react-burger-menu-btn,button,Open Menu,,react-burger-cross-btn,button,Close Menu,,0.79,0.74,1.0,1,0
react-burger-menu-btn,button,Open Menu,,add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,0.35,0.2,0.0,1,0
react-burger-menu-btn,button,Open Menu,,add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,0.37,0.2,0.0,1,0
react-burger-menu-btn,button,Open Menu,,add-to-cart-sauce-labs-bolt-t-shirt,button,Add to cart,btn btn_primary btn_small btn_inventory,0.36,0.2,0.0,1,0
react-burger-menu-btn,button,Open Menu,,add-to-cart-sauce-labs-fleece-jacket,button,Add to cart,btn btn_primary btn_small btn_inventory,0.35,0.2,0.0,1,0
react-burger-menu-btn,button,Open Menu,,add-to-cart-sauce-labs-onesie,button,Add to cart,btn btn_primary btn_small btn_inventory,0.36,0.2,0.0,1,0
react-burger-menu-btn,button,Open Menu,,add-to-cart-test.allthethings()-t-shirt-(red),button,Add to cart,btn btn_primary btn_small btn_inventory,0.27,0.2,0.0,1,0
react-burger-menu-btn,button,Open Menu,,inventory_sidebar_link,a,All Items,bm-item menu-item,0.28,0.22,0.0,0,0
react-burger-menu-btn,button,Open Menu,,about_sidebar_link,a,About,bm-item menu-item,0.31,0.29,0.0,0,0
react-burger-menu-btn,button,Open Menu,,logout_sidebar_link,a,Logout,bm-item menu-item,0.2,0.27,0.0,0,0
react-burger-menu-btn,button,Open Menu,,reset_sidebar_link,a,Reset App State,bm-item menu-item,0.31,0.25,0.0,0,0
react-burger-menu-btn,button,Open Menu,,,a,,shopping_cart_link,0.0,0.0,0.0,0,0
react-burger-menu-btn,button,Open Menu,,item_4_img_link,a,,,0.22,0.0,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_4_title_link,a,Sauce Labs Backpack,,0.26,0.14,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_0_img_link,a,,,0.22,0.0,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_0_title_link,a,Sauce Labs Bike Light,,0.26,0.2,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_1_img_link,a,,,0.22,0.0,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_1_title_link,a,Sauce Labs Bolt T-Shirt,,0.26,0.12,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_5_img_link,a,,,0.22,0.0,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_5_title_link,a,Sauce Labs Fleece Jacket,,0.26,0.18,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_2_img_link,a,,,0.22,0.0,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_2_title_link,a,Sauce Labs Onesie,,0.26,0.23,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_3_img_link,a,,,0.22,0.0,1.0,0,0
react-burger-menu-btn,button,Open Menu,,item_3_title_link,a,Test.allTheThings() T-Shirt (Red),,0.26,0.19,1.0,0,0
react-burger-menu-btn,button,Open Menu,,,a,Twitter,,0.0,0.12,1.0,0,0
react-burger-menu-btn,button,Open Menu,,,a,Facebook,,0.0,0.12,1.0,0,0
react-burger-menu-btn,button,Open Menu,,,a,LinkedIn,,0.0,0.35,1.0,0,0
react-burger-menu-btn,button,Open Menu,,,select,Name (A to Z)Name (Z to A)Price (low to high)Price (high to low),product_sort_container,0.0,0.14,0.0,0,0
react-burger-cross-btn,button,Close Menu,,react-burger-menu-btn,button,Open Menu,,0.79,0.74,1.0,1,0
react-burger-cross-btn,button,Close Menu,,react-burger-cross-btn,button,Close Menu,,1.0,1.0,1.0,1,1
react-burger-cross-btn,button,Close Menu,,add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,0.38,0.19,0.0,1,0
react-burger-cross-btn,button,Close Menu,,add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,0.4,0.19,0.0,1,0
react-burger-cross-btn,button,Close Menu,,add-to-cart-sauce-labs-bolt-t-shirt,button,Add to cart,btn btn_primary btn_small btn_inventory,0.39,0.19,0.0,1,0
react-burger-cross-btn,button,Close Menu,,add-to-cart-sauce-labs-fleece-jacket,button,Add to cart,btn btn_primary btn_small btn_inventory,0.34,0.19,0.0,1,0
react-burger-cross-btn,button,Close Menu,,add-to-cart-sauce-labs-onesie,button,Add to cart,btn btn_primary btn_small btn_inventory,0.39,0.19,0.0,1,0
react-burger-cross-btn,button,Close Menu,,add-to-cart-test.allthethings()-t-shirt-(red),button,Add to cart,btn btn_primary btn_small btn_inventory,0.27,0.19,0.0,1,0
react-burger-cross-btn,button,Close Menu,,inventory_sidebar_link,a,All Items,bm-item menu-item,0.27,0.32,0.0,0,0
react-burger-cross-btn,button,Close Menu,,about_sidebar_link,a,About,bm-item menu-item,0.3,0.27,0.0,0,0
react-burger-cross-btn,button,Close Menu,,logout_sidebar_link,a,Logout,bm-item menu-item,0.24,0.38,0.0,0,0
react-burger-cross-btn,button,Close Menu,,reset_sidebar_link,a,Reset App State,bm-item menu-item,0.3,0.32,0.0,0,0
react-burger-cross-btn,button,Close Menu,,,a,,shopping_cart_link,0.0,0.0,0.0,0,0
react-burger-cross-btn,button,Close Menu,,item_4_img_link,a,,,0.16,0.0,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_4_title_link,a,Sauce Labs Backpack,,0.21,0.28,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_0_img_link,a,,,0.16,0.0,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_0_title_link,a,Sauce Labs Bike Light,,0.21,0.32,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_1_img_link,a,,,0.16,0.0,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_1_title_link,a,Sauce Labs Bolt T-Shirt,,0.21,0.24,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_5_img_link,a,,,0.16,0.0,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_5_title_link,a,Sauce Labs Fleece Jacket,,0.21,0.35,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_2_img_link,a,,,0.16,0.0,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_2_title_link,a,Sauce Labs Onesie,,0.21,0.37,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_3_img_link,a,,,0.16,0.0,1.0,0,0
react-burger-cross-btn,button,Close Menu,,item_3_title_link,a,Test.allTheThings() T-Shirt (Red),,0.21,0.19,1.0,0,0
react-burger-cross-btn,button,Close Menu,,,a,Twitter,,0.0,0.12,1.0,0,0
react-burger-cross-btn,button,Close Menu,,,a,Facebook,,0.0,0.22,1.0,0,0
react-burger-cross-btn,button,Close Menu,,,a,LinkedIn,,0.0,0.33,1.0,0,0
react-burger-cross-btn,button,Close Menu,,,select,Name (A to Z)Name (Z to A)Price (low to high)Price (high to low),product_sort_container,0.0,0.14,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,react-burger-menu-btn,button,Open Menu,,0.35,0.2,0.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,react-burger-cross-btn,button,Close Menu,,0.38,0.19,0.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,1.0,1.0,1.0,1,1
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,0.78,1.0,1.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-bolt-t-shirt,button,Add to cart,btn btn_primary btn_small btn_inventory,0.73,1.0,1.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-fleece-jacket,button,Add to cart,btn btn_primary btn_small btn_inventory,0.81,1.0,1.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-onesie,button,Add to cart,btn btn_primary btn_small btn_inventory,0.77,1.0,1.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-test.allthethings()-t-shirt-(red),button,Add to cart,btn btn_primary btn_small btn_inventory,0.47,1.0,1.0,1,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,inventory_sidebar_link,a,All Items,bm-item menu-item,0.3,0.3,0.29,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,about_sidebar_link,a,About,bm-item menu-item,0.33,0.38,0.29,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,logout_sidebar_link,a,Logout,bm-item menu-item,0.28,0.24,0.29,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,reset_sidebar_link,a,Reset App State,bm-item menu-item,0.29,0.38,0.29,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,,a,,shopping_cart_link,0.0,0.0,0.32,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_4_img_link,a,,,0.17,0.0,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_4_title_link,a,Sauce Labs Backpack,,0.21,0.33,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_0_img_link,a,,,0.17,0.0,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_0_title_link,a,Sauce Labs Bike Light,,0.21,0.25,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_1_img_link,a,,,0.17,0.0,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_1_title_link,a,Sauce Labs Bolt T-Shirt,,0.21,0.35,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_5_img_link,a,,,0.17,0.0,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_5_title_link,a,Sauce Labs Fleece Jacket,,0.21,0.34,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_2_img_link,a,,,0.17,0.0,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_2_title_link,a,Sauce Labs Onesie,,0.21,0.21,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_3_img_link,a,,,0.17,0.0,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,item_3_title_link,a,Test.allTheThings() T-Shirt (Red),,0.21,0.23,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,,a,Twitter,,0.0,0.22,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,,a,Facebook,,0.0,0.21,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,,a,LinkedIn,,0.0,0.11,0.0,0,0
add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,,select,Name (A to Z)Name (Z to A)Price (low to high)Price (high to low),product_sort_container,0.0,0.21,0.36,0,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,react-burger-menu-btn,button,Open Menu,,0.37,0.2,0.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,react-burger-cross-btn,button,Close Menu,,0.4,0.19,0.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-backpack,button,Add to cart,btn btn_primary btn_small btn_inventory,0.78,1.0,1.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,1.0,1.0,1.0,1,1
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-bolt-t-shirt,button,Add to cart,btn btn_primary btn_small btn_inventory,0.79,1.0,1.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-fleece-jacket,button,Add to cart,btn btn_primary btn_small btn_inventory,0.75,1.0,1.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-sauce-labs-onesie,button,Add to cart,btn btn_primary btn_small btn_inventory,0.81,1.0,1.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,add-to-cart-test.allthethings()-t-shirt-(red),button,Add to cart,btn btn_primary btn_small btn_inventory,0.51,1.0,1.0,1,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,inventory_sidebar_link,a,All Items,bm-item menu-item,0.29,0.3,0.29,0,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,about_sidebar_link,a,About,bm-item menu-item,0.31,0.38,0.29,0,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,logout_sidebar_link,a,Logout,bm-item menu-item,0.27,0.24,0.29,0,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,reset_sidebar_link,a,Reset App State,bm-item menu-item,0.31,0.38,0.29,0,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,,a,,shopping_cart_link,0.0,0.0,0.32,0,0
add-to-cart-sauce-labs-bike-light,button,Add to cart,btn btn_primary btn_small btn_inventory,item_4_img_link,a,,,0.21,0.0,0.0,0,0
